command,purpose
secadm credentials,no command mandatory parameters
secadm credentials create,no command mandatory parameters
secadm credentials create -rp netsim -sn netsim -sp netsim -nn netsim -np netsim -n LTE50ERBS00003,credentials create missing mandatory parameter
secadm credentials create -rn netsim -rp netsim -sn netsim -sp netsim -nn netsim -xx netsim -n somenodename,credentials create unknown replacement parameter --xx
secadm credentials create -rn netsim -rp netsim -sn netsim -sp netsim -nn netsim -np netsim -xx netsim -n somenodename,credentials create unknown extra parameter --xx
secadm credentials create -rn netsim -rp netsim -sn netsim -sp netsim -nn netsim -np netsim -rn netsim -n somenodename,credentials create duplicate parameter short version
secadm credentials create --rootusername netsim --rootuserpassword netsim --secureusername netsim --secureuserpassword netsim --normaluserpassword netsim --normalusername netsim --normalusername netsim --nodelist somenodename,credentials create duplicate parameter long version
secadm credentials create -rn -rp netsim -sn netsim -sp netsim -nn netsim -np netsim -n somenodename,credentials create missing value for parameter --rn
secadm credentials create -rn netsim -rp netsim -sn netsim -sp netsim -nn netsim -np netsim,credentials create missing nodelist or nodefile parameter
secadm credentials create -rn netsim -rp netsim -sn netsim -sp netsim -nn netsim -np netsim -n,credentials create missing value for --nodelist short version -n
secadm credentials create -rn netsim -rp -sn netsim -sp netsim -nn netsim -np netsim -n somenodename,credentials create missing value for password --rp
secadm credentials create -rn netsim -rp netsim -sn netsim -sp netsim -nn netsim -np netsim -nf,credentials create missing value for --nodefile -nf
secadm credentials create -rn netsim -rp netsim netsim -sn netsim -sp netsim -nn netsim -np netsim somenodename, credentials create 2 values supplied for a password
"secadm credentials create -rn netsim -rp netsim -sn netsim -sp netsim -nn netsim -np netsim -n NetworkElement=somenodename;somenodename;MeContext=somenodename",credentials create invalid node separators
"secadm credentials create -rn netsim -rp netsim -sn netsim -sp netsim -nn netsim -np netsim -n NetworkElement=somenodename,somenodename1,MeContext=somenodename2,",credentials create extra comma at end
"secadm credentials create -rn netsim -rp netsim -sn netsim -sp netsim -nn netsim -np netsim -n NetworkElement=somenodename,somenodename1,,,,MeContext=somenodename2,",credentials create  lots of commas between nodes
secadm credentials create -n NetworkElement=somenodename -rn netsim -rp netsim -sn netsim -sp netsim -nn netsim -np netsim,credentials create Order of parameters




